AO,BE
3 de Febrero,3 de Febrero
AA Ponte Preta SP,Ponte Preta
AC Barnechea,Barnechea
AC Cuneo 1905,Cuneo
AC Goianiense GO,Atletico GO
AC Oulu,AC Oulu
ACS Energeticianul,Energeticianul
ACS Poli Timisoara,Poli Timisoara
AD Berazategui,Berazategui
ADO Den Haag,Den Haag
AE Prat,Prat
AEK Athens,AEK Athens FC
AFC Eskilstuna,AFC Eskilstuna
AFC Tubize,Tubize
AS Ain Mlila,Mlila
AS Monaco,Monaco
Aarau,Aarau
Aarhus Fremad,Aarhus Fremad
Aberystwyth Town,Aberystwyth
Acassuso San Isidro (N),Acassuso
Aerostar Bacau,Aerostar
Ajax,Ajax
Ajman Club,Ajman
Akademiya Futbola,FC Akademia
Al Ain,Al Ain
Al Dhafra,Al Dhafra
Al Duhail SC,Al-Duhail
Al Fateh Al Hasa,Al-Fateh
Al Fujairah Dubai,Al Fujairah
Al Hilal Riyadh,Al-Hilal
Al Hussein Irbid,Al Hussein
Al Jazira Abu Dhabi,Al Jazira
Al Khor SC,Al Khor
Al Nasr Dubai,Al Nasr
Al Nassr Riyadh,Al-Nassr
Al Qadisiya Al Khubar,Al Qadisiya
Al Sharjah,Al Sharjah
Alashkert,Alashkert
Aldosivi Mar del Plata,Aldosivi
Alianza Atletico,Alianza Atl.
Alianza Petrolera,Petrolera
All Boys Floresta,All Boys
Almeria,Almeria
Almirante Brown,Almirante Brown
America Mineiro,America MG
Andorra U21,Andorra U21
Angusht Nazran,Angust Nazran
Antigua GFC,Antigua
Anzhi Makhachkala U21,Anzhi U21
Aragua,Aragua
Arda Kardzhali,Arda
Arges Pitesti,Arges Pitesti
Arka Gdynia,Arka Gdynia
Armenia U19,Armenia U18
Arsenal Tula U21,Arsenal Tula U21
Arsenal U23,Arsenal U23
Asane Fotball,Asane
Ask Ebreichsdorf,Ebreichsdorf
Astoria Walldorf,Walldorf
Astra Giurgiu,Astra
Atenas San Carlos,Atenas
Athletic Bilbao B,Ath Bilbao B
Athlone Town,Athlone
Atl Paranaense,Atletico-PR
Atlas,Atlas
Atletico Goianiense,Atletico GO
Atletico Grau,Grau
Atletico Huila,Huila
Atletico Mineiro,Atletico-MG
Atletico Nacional Medellin,Atl. Nacional
Atletico Rafaela,Atl. Rafaela
Atletico San Luis,Atl. San Luis
Atletico Tucuman,Atl. Tucuman
Atletico Venezuela,Atl. Venezuela
Atletico de Cali,Atletico F.C.
Austria Lustenau,A. Lustenau
Austria U21,Austria U21
Avai SC,Avai
B93 Copenhagen,B.93
BATE Borisov,BATE
BK Hacken,Hacken
Bahia BA,Bahia
Bahia EC BA,Bahia
Bali United,Bali United
Banants Yerevan,Banants Yerevan
Banik Ostrava,Ostrava
Baniyas,Bani Yas
Baoding Yingli Yitong,Baoding Yingli Yitong
Barcelona Guayaquil,Barcelona SC
Barnsley U23,Barnsley U23
Barracas Central,Barracas Central
Basel,Basel
Bayer 04 Leverkusen,Bayer Leverkusen
Bayern Munchen,Bayern Munich
Bayern Munich U19,Bayern U19
Beitar Jerusalem,Beitar Jerusalem
Beitar Tel Aviv Ramla,Beitar Tel Aviv
Belarus U21,Belarus U21
Belenenses U23,Belenenses U23
Benfica,Benfica
Bengaluru,Bengaluru
Bentleigh Greens,Bentleigh Greens
Besiktas,Besiktas
Bhutan,Bhutan
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Blau Weiss Linz,BW Linz
Boa MG,Boa
Bohemians,Bohemians
Bohemians 1905,Bohemians 1905
Bolton Wanderers,Bolton
Bolton Wanderers U23,Bolton U23
Bonner SC,Bonner
Bordeaux,Bordeaux
Borussia Dortmund,Dortmund
Borussia Dortmund Am,Dortmund II
Botafogo RJ,Botafogo RJ
Boulogne,Boulogne
Boyaca Chico,Chico
Brasil de Pelotas RS,Brasil de Pelotas
Bristol City,Bristol City
Bristol City FC U23,Bristol City U23
Bristol Rovers,Bristol Rovers
Broadmeadow Magic,Broadmeadow
Brondby IF,Brondby
Brunei Darussalam,Brunei
Burnley,Burnley
Burnley FC U23,Burnley U23
Bury FC,Bury
Buyuksehir Belediye Erzurumspor,Erzurum BB
CA Atlanta,Atletico Atlanta
CA Ferrocarril Midland,Midland
CA General Lamadrid,General Lamadrid
CA Independiente,Independiente
CA Ituzaingo,Ituzaingo
CA Puerto Nuevo,Puerto Nuevo
CA River Plate,River Plate
CA San Miguel,San Miguel
CA Temperley,Temperley
CA Tucuman,Atl. Tucuman
CD Arabe Unido,Arabe Unido
CD Armenio,Deportivo Armenio
CD Badajoz,CD Badajoz
CD FAS,FAS
CD Gerena,CD Gerena
CD Guadalajara Chivas,Guadalajara Chivas
CD Macara,Macara
CD Mirandes,Mirandes
CD Municipal Limeno,Municipal Limeno
CD Olimpia,Olimpia
CD Puerto Montt,D. Puerto Montt
CD Real de Minas,Real de Minas
CD Santa Ursula,Santa Ursula
CD Tropezon,Tropezon
CD Universitario De Popayan,Popayan
CDS Vida,Vida
CDSC Cruz Azul (W),Cruz Azul W
CE Europa,CE Europa
CF Briviesca,Briviesca
CF Lobos de la BUAP (W),Lobos BUAP W
CF Pachuca,Pachuca
CF Pozuelo de Alarcon,Pozuelo de Alarcon
CRB AL,CRB
CRB Maceio,CRB
CS Balotesti,Balotesti
CS Cartagines,Cartagines
CS Constantine,Constantine
CS Luceafarul Oradea,Luceafarul Oradea
CSA AL,CSA
CSD Muniz,Deportivo Muniz
CSKA 1948 Sofia,CSKA 1948 Sofia
Cafetaleros De Tapachula,Cafetaleros de Tapachula
Calcutta Customs,Calcutta Customs
Cape Umoya United,Cape Umoya United
Carabobo,Carabobo
Caracas FC,Caracas
Carlos A. Mannucci,Carlos Manucci
Cefn Druids AFC,Druids
Celtic,Celtic
Chapecoense SC,Chapecoense-SC
Charleston Battery,Charleston
Charlotte Independence,Charlotte Independ.
Charlton Athletic FC U23,Charlton U23
Chaves,Chaves
Chayka Peschanokopskoye,FK Chayka
Chertanovo Moscow,Chertanovo M.
Chicago Red Stars (W),Chicago W
Chita,Chita
Chornomorets Odessa U21,Ch. Odessa U21
Cimarrones De Sonora,Cimarrones de Sonora
Club Brugge,Club Brugge KV
Club Lujan,Club Lujan
Club Nacional Montevideo,Club Nacional
Club Necaxa (W),Necaxa W
Coban Imperial,Coban Imperial
Cobh Ramblers,Cobh Ramblers
Coleraine,Coleraine
Colo Colo,Colo Colo
Colon de Santa Fe,Colon Santa FE
Comunicaciones Agronomia,Comunicaciones
Concordia Chiajna,Concordia
Condal CF,Condal
Corinthians SP,Corinthians
Coritiba PR,Coritiba
Coritiba PR U20,Coritiba U20
Cork City,Cork City
Cortulua Tulua,Cortulua
Cosenza,Cosenza
Costa del Este FC,Costa del Este
Cracovia Krakow,Cracovia
Crusaders,Crusaders
Cruz Azul,Cruz Azul
Cruzeiro MG,Cruzeiro
Crvena Zvezda,FK Crvena zvezda
Crystal Palace U23,Crystal Palace U23
Csakvari TK,Csakvari
Cucuta Deportivo,Cucuta
Dalian Yifang,Dalian Yifang F.C.
Dalstorps IF,Dalstorps
Defence Force FC,Defence Force
Defensa y Justicia,Defensa y Justicia
Defensores Unidos,Defensores Unidos
Deportes Melipilla,Melipilla
Deportes Quindio,Quindio
Deportes Temuco,Deportes Temuco
Deportivo Alaves B,Alaves B
Deportivo Anzoategui,Dep. Anzoategui
Deportivo Cali,Dep. Cali
Deportivo Cuenca,Dep. Cuenca
Deportivo Espanol,Deportivo Espanol
Deportivo Iztapa,Iztapa
Deportivo La Coruna,Dep. La Coruna
Deportivo La Guaira,La Guaira
Deportivo Laferrere,Laferrere
Deportivo Lara,Lara
Deportivo Maipu,Deportivo Maipu
Deportivo Merlo,Dep. Merlo
