BetPlacedUTC,MatchStartUTC,BetType,EventName,Participant1,Participant2,Sport,Percentage,CLVPercentage,PercentageOutcome,OddsType,OddsType2,OddsType3,Outcome,Outcome2,Outcome3,Limit,Limit2,Limit3,Lay,Lay2,Lay3,Bookmaker,Bookmaker2,Bookmaker3,Stake,Odds,Odds2,Odds3,Result,Profit,MinutesToMatchStart,KellyPercentage,MaxStakePercentage,CalculatedOdds,CalculatedOdds2,CalculatedOdds3,ResultBet1,ResultBet2,ResultBet3,StakeBet1,StakeBet2,StakeBet3,ProfitBet1,ProfitBet2,ProfitBet3,GameLengthRule,GameCountRule,GameCountRule2,GameCountRule3,ManuallyGraded,ManuallyGraded2,ManuallyGraded3,ID
3/12/2023 6:01:18 PM,3/18/2023 3:00:00 PM,Arb,England - National League,Gateshead FC,Torquay United,Soccer,0.0224000000,,0,Threeway,Threeway,AsianHandicap,Home,Draw,Away,,,0.250,False,False,False,Betano,AsianConnect,AsianConnect,1250.00000,2.00000,4.07000,2.46900,"Pending, Pending, Pending",0.00000,8459,,0.00000,,,,Pending,Pending,Pending,640.00000,90.00000,520.00000,0.00000,0.00000,0.00000,RegularTime,,,,False,False,False,12685016
3/12/2023 12:40:37 PM,3/12/2023 7:00:00 PM,Arb,România - Liga 1,FCSB,ACS Sepsi,Soccer,0.0026000000,,0.0004,Threeway,Threeway,AsianHandicap,Home,Draw,Away,,,0.000,False,False,False,Betano,Betano,AsianConnect,1250.00000,2.05000,3.80000,2.99000,"Win, Lose, Lose",0.50000,380,,0.00000,,,,Win,Lose,Lose,610.00000,220.00000,420.00000,640.50000,-220.00000,-420.00000,RegularTime,,,,False,False,False,12670722
3/12/2023 12:40:37 PM,3/12/2023 4:45:00 PM,Arb,QATAR STARS LEAGUE,Al Sadd,Al Duhail SC,Soccer,0.0185000000,,0.009184,AsianHandicap,Threeway,Threeway,Home,Draw,Away,-0.250,,,False,False,False,AsianConnect,AsianConnect,Betano,1250.00000,1.93500,4.23400,3.45000,"HalfLose, Win, Lose",11.48000,245,,0.00000,,,,HalfLose,Win,Lose,660.00000,220.00000,370.00000,-330.00000,711.48000,-370.00000,RegularTime,,,,False,False,False,12670720
3/12/2023 12:37:27 PM,3/12/2023 1:30:00 PM,Arb,Italy - Serie D,Asti Calcio,Borgosesia,Soccer,0.0095000000,,0.01152,Threeway,AsianHandicap,,Home,Away,,,0.500,,False,False,,Betano,AsianConnect,,1250.00000,1.88000,2.18000,,"Lose, Win",14.40000,53,,0.00000,,,,Lose,Win,,670.00000,580.00000,0,-670.00000,684.40000,0,RegularTime,,,,False,False,,12670462
3/12/2023 12:37:01 PM,3/12/2023 1:30:00 PM,Arb,ITALY SERIE D,AS Lavello,Asd Team Altamura,Soccer,0.0002000000,,-0.00432,AsianHandicap,Threeway,,Home,Away,,0.500,,,False,False,,AsianConnect,Betano,,1250.00000,2.54000,1.65000,,"Win, Lose",-5.40000,53,,0.00000,,,,Win,Lose,,490.00000,760.00000,0,754.60000,-760.00000,0,RegularTime,,,,False,False,,12670405
3/12/2023 12:37:00 PM,3/12/2023 1:30:00 PM,Arb,Italy - Serie C,Nuova Monterosi,ACR Messina,Soccer,0.0073000000,,0.0040201612903225806451612903,Threeway,Threeway,AsianHandicap,Home,Draw,Away,,,0.250,False,False,False,Betano,Betano,AsianConnect,1240.00000,2.72000,3.05000,1.81300,"Lose, Win, HalfWin",4.98500,53,,0.00000,,,,Lose,Win,HalfWin,460.00000,90.00000,690.00000,-460.00000,184.50000,280.48500,RegularTime,,,,False,False,False,12670403
3/12/2023 12:36:59 PM,3/12/2023 1:30:00 PM,Arb,Italy - Serie D,US Angri 1927,Pomezia Calcio 1957,Soccer,0.0108000000,,0.008384,Threeway,Threeway,AsianHandicap,Home,Draw,Away,,,0.250,False,False,False,Betano,Betano,AsianConnect,1250.00000,2.65000,3.25000,1.84700,"Lose, Win, HalfWin",10.48000,54,,0.00000,,,,Lose,Win,HalfWin,480.00000,90.00000,680.00000,-480.00000,202.50000,287.98000,RegularTime,,,,False,False,False,12670401
3/12/2023 12:36:58 PM,3/12/2023 11:00:00 PM,Arb,PERU LIGA 1,Deportivo Garcilaso,Sporting Cristal,Soccer,0.0154000000,,0.01728,AsianHandicap,Threeway,Threeway,Home,Draw,Away,-0.250,,,False,False,False,AsianConnect,AsianConnect,Betano,1250.00000,2.07000,3.58000,3.45000,"HalfLose, Win, Lose",21.60000,624,,0.00000,,,,HalfLose,Win,Lose,610.00000,270.00000,370.00000,-305.00000,696.60000,-370.00000,RegularTime,,,,False,False,False,12670399
3/12/2023 12:36:57 PM,3/12/2023 1:30:00 PM,Arb,Netherlands - Derde Divisie,Groene Ster,GVV Unitas,Soccer,0.0163000000,,0.01696,Threeway,AsianHandicap,,Home,Away,,,0.500,,False,False,,Betano,AsianConnect,,1250.00000,2.27000,1.84000,,"Win, Lose",21.20000,54,,0.00000,,,,Win,Lose,,560.00000,690.00000,0,711.20000,-690.00000,0,RegularTime,,,,False,False,,12670396
3/12/2023 12:36:55 PM,3/12/2023 1:30:00 PM,Arb,ITALY SERIE D,Us Mariglianese,Citta Di Sant Agata,Soccer,0.0348000000,,0.02816,AsianHandicap,Threeway,,Home,Away,,0.500,,,False,False,,AsianConnect,Betano,,1250.00000,2.04000,2.10000,,"Win, Lose",35.20000,54,,0.00000,,,,Win,Lose,,630.00000,620.00000,0,655.20000,-620.00000,0,RegularTime,,,,False,False,,12670392
