,Unnamed: 0,AO,BE
0,0.0,3 de Febrero,3 de Febrero
1,1.0,AA Ponte Preta SP,Ponte Preta
2,2.0,AC Barnechea,Barnechea
3,3.0,AC Cuneo 1905,Cuneo
4,4.0,AC Goianiense GO,Atletico GO
5,5.0,AC Oulu,AC Oulu
6,6.0,ACS Energeticianul,Energeticianul
7,7.0,ACS Poli Timisoara,Poli Timisoara
8,8.0,AD Berazategui,Berazategui
9,9.0,ADO Den Haag,Den Haag
10,10.0,AE Prat,Prat
11,11.0,AEK Athens,AEK Athens FC
12,12.0,AFC Eskilstuna,AFC Eskilstuna
13,13.0,AFC Tubize,Tubize
14,14.0,AS Ain Mlila,Mlila
15,15.0,AS Monaco,Monaco
16,16.0,Aarau,Aarau
17,17.0,Aarhus Fremad,Aarhus Fremad
18,18.0,Aberystwyth Town,Aberystwyth
19,19.0,Acassuso San Isidro (N),Acassuso
20,20.0,Aerostar Bacau,Aerostar
21,21.0,Ajax,Ajax
22,22.0,Ajman Club,Ajman
23,23.0,Akademiya Futbola,FC Akademia
24,24.0,Al Ain,Al Ain
25,25.0,Al Dhafra,Al Dhafra
26,26.0,Al Duhail SC,Al-Duhail
27,27.0,Al Fateh Al Hasa,Al-Fateh
28,28.0,Al Fujairah Dubai,Al Fujairah
29,29.0,Al Hilal Riyadh,Al-Hilal
30,30.0,Al Hussein Irbid,Al Hussein
31,31.0,Al Jazira Abu Dhabi,Al Jazira
32,32.0,Al Khor SC,Al Khor
33,33.0,Al Nasr Dubai,Al Nasr
34,34.0,Al Nassr Riyadh,Al-Nassr
35,35.0,Al Qadisiya Al Khubar,Al Qadisiya
36,36.0,Al Sharjah,Al Sharjah
37,37.0,Alashkert,Alashkert
38,38.0,Aldosivi Mar del Plata,Aldosivi
39,39.0,Alianza Atletico,Alianza Atl.
40,40.0,Alianza Petrolera,Petrolera
41,41.0,All Boys Floresta,All Boys
42,42.0,Almeria,Almeria
43,43.0,Almirante Brown,Almirante Brown
44,44.0,America Mineiro,America MG
45,45.0,Andorra U21,Andorra U21
46,46.0,Angusht Nazran,Angust Nazran
47,47.0,Antigua GFC,Antigua
48,48.0,Anzhi Makhachkala U21,Anzhi U21
49,49.0,Aragua,Aragua
50,50.0,Arda Kardzhali,Arda
51,51.0,Arges Pitesti,Arges Pitesti
52,52.0,Arka Gdynia,Arka Gdynia
53,53.0,Armenia U19,Armenia U18
54,54.0,Arsenal Tula U21,Arsenal Tula U21
55,55.0,Arsenal U23,Arsenal U23
56,56.0,Asane Fotball,Asane
57,57.0,Ask Ebreichsdorf,Ebreichsdorf
58,58.0,Astoria Walldorf,Walldorf
59,59.0,Astra Giurgiu,Astra
60,60.0,Atenas San Carlos,Atenas
61,61.0,Athletic Bilbao B,Ath Bilbao B
62,62.0,Athlone Town,Athlone
63,63.0,Atl Paranaense,Atletico-PR
64,64.0,Atlas,Atlas
65,65.0,Atletico Goianiense,Atletico GO
66,66.0,Atletico Grau,Grau
67,67.0,Atletico Huila,Huila
68,68.0,Atletico Mineiro,Atletico-MG
69,69.0,Atletico Nacional Medellin,Atl. Nacional
70,70.0,Atletico Rafaela,Atl. Rafaela
71,71.0,Atletico San Luis,Atl. San Luis
72,72.0,Atletico Tucuman,Atl. Tucuman
73,73.0,Atletico Venezuela,Atl. Venezuela
74,74.0,Atletico de Cali,Atletico F.C.
75,75.0,Austria Lustenau,A. Lustenau
76,76.0,Austria U21,Austria U21
77,77.0,Avai SC,Avai
78,78.0,B93 Copenhagen,B.93
79,79.0,BATE Borisov,BATE
80,80.0,BK Hacken,Hacken
81,81.0,Bahia BA,Bahia
82,82.0,Bahia EC BA,Bahia
83,83.0,Bali United,Bali United
84,84.0,Banants Yerevan,Banants Yerevan
85,85.0,Banik Ostrava,Ostrava
86,86.0,Baniyas,Bani Yas
87,87.0,Baoding Yingli Yitong,Baoding Yingli Yitong
88,88.0,Barcelona Guayaquil,Barcelona SC
89,89.0,Barnsley U23,Barnsley U23
90,90.0,Barracas Central,Barracas Central
91,91.0,Basel,Basel
92,92.0,Bayer 04 Leverkusen,Bayer Leverkusen
93,93.0,Bayern Munchen,Bayern Munich
94,94.0,Bayern Munich U19,Bayern U19
95,95.0,Beitar Jerusalem,Beitar Jerusalem
96,96.0,Beitar Tel Aviv Ramla,Beitar Tel Aviv
97,97.0,Belarus U21,Belarus U21
98,98.0,Belenenses U23,Belenenses U23
99,99.0,Benfica,Benfica
100,100.0,Bengaluru,Bengaluru
101,101.0,Bentleigh Greens,Bentleigh Greens
102,102.0,Besiktas,Besiktas
103,103.0,Bhutan,Bhutan
104,104.0,Birmingham City,Birmingham
105,105.0,Blackburn Rovers,Blackburn
106,106.0,Blau Weiss Linz,BW Linz
107,107.0,Boa MG,Boa
108,108.0,Bohemians,Bohemians
109,109.0,Bohemians 1905,Bohemians 1905
110,110.0,Bolton Wanderers,Bolton
111,111.0,Bolton Wanderers U23,Bolton U23
112,112.0,Bonner SC,Bonner
113,113.0,Bordeaux,Bordeaux
114,114.0,Borussia Dortmund,Dortmund
115,115.0,Borussia Dortmund Am,Dortmund II
116,116.0,Botafogo RJ,Botafogo RJ
117,117.0,Boulogne,Boulogne
118,118.0,Boyaca Chico,Chico
119,119.0,Brasil de Pelotas RS,Brasil de Pelotas
120,120.0,Bristol City,Bristol City
121,121.0,Bristol City FC U23,Bristol City U23
122,122.0,Bristol Rovers,Bristol Rovers
123,123.0,Broadmeadow Magic,Broadmeadow
124,124.0,Brondby IF,Brondby
125,125.0,Brunei Darussalam,Brunei
126,126.0,Burnley,Burnley
127,127.0,Burnley FC U23,Burnley U23
128,128.0,Bury FC,Bury
129,129.0,Buyuksehir Belediye Erzurumspor,Erzurum BB
130,130.0,CA Atlanta,Atletico Atlanta
131,131.0,CA Ferrocarril Midland,Midland
132,132.0,CA General Lamadrid,General Lamadrid
133,133.0,CA Independiente,Independiente
134,134.0,CA Ituzaingo,Ituzaingo
135,135.0,CA Puerto Nuevo,Puerto Nuevo
136,136.0,CA River Plate,River Plate
137,137.0,CA San Miguel,San Miguel
138,138.0,CA Temperley,Temperley
139,139.0,CA Tucuman,Atl. Tucuman
140,140.0,CD Arabe Unido,Arabe Unido
141,141.0,CD Armenio,Deportivo Armenio
142,142.0,CD Badajoz,CD Badajoz
143,143.0,CD FAS,FAS
144,144.0,CD Gerena,CD Gerena
145,145.0,CD Guadalajara Chivas,Guadalajara Chivas
146,146.0,CD Macara,Macara
147,147.0,CD Mirandes,Mirandes
148,148.0,CD Municipal Limeno,Municipal Limeno
149,149.0,CD Olimpia,Olimpia
150,150.0,CD Puerto Montt,D. Puerto Montt
151,151.0,CD Real de Minas,Real de Minas
152,152.0,CD Santa Ursula,Santa Ursula
153,153.0,CD Tropezon,Tropezon
154,154.0,CD Universitario De Popayan,Popayan
155,155.0,CDS Vida,Vida
156,156.0,CDSC Cruz Azul (W),Cruz Azul W
157,157.0,CE Europa,CE Europa
158,158.0,CF Briviesca,Briviesca
159,159.0,CF Lobos de la BUAP (W),Lobos BUAP W
160,160.0,CF Pachuca,Pachuca
161,161.0,CF Pozuelo de Alarcon,Pozuelo de Alarcon
162,162.0,CRB AL,CRB
163,163.0,CRB Maceio,CRB
164,164.0,CS Balotesti,Balotesti
165,165.0,CS Cartagines,Cartagines
166,166.0,CS Constantine,Constantine
167,167.0,CS Luceafarul Oradea,Luceafarul Oradea
168,168.0,CSA AL,CSA
169,169.0,CSD Muniz,Deportivo Muniz
170,170.0,CSKA 1948 Sofia,CSKA 1948 Sofia
171,171.0,Cafetaleros De Tapachula,Cafetaleros de Tapachula
172,172.0,Calcutta Customs,Calcutta Customs
173,173.0,Cape Umoya United,Cape Umoya United
174,174.0,Carabobo,Carabobo
175,175.0,Caracas FC,Caracas
176,176.0,Carlos A. Mannucci,Carlos Manucci
177,177.0,Cefn Druids AFC,Druids
178,178.0,Celtic,Celtic
179,179.0,Chapecoense SC,Chapecoense-SC
180,180.0,Charleston Battery,Charleston
181,181.0,Charlotte Independence,Charlotte Independ.
182,182.0,Charlton Athletic FC U23,Charlton U23
183,183.0,Chaves,Chaves
184,184.0,Chayka Peschanokopskoye,FK Chayka
185,185.0,Chertanovo Moscow,Chertanovo M.
186,186.0,Chicago Red Stars (W),Chicago W
187,187.0,Chita,Chita
188,188.0,Chornomorets Odessa U21,Ch. Odessa U21
189,189.0,Cimarrones De Sonora,Cimarrones de Sonora
190,190.0,Club Brugge,Club Brugge KV
191,191.0,Club Lujan,Club Lujan
192,192.0,Club Nacional Montevideo,Club Nacional
193,193.0,Club Necaxa (W),Necaxa W
194,194.0,Coban Imperial,Coban Imperial
195,195.0,Cobh Ramblers,Cobh Ramblers
196,196.0,Coleraine,Coleraine
197,197.0,Colo Colo,Colo Colo
198,198.0,Colon de Santa Fe,Colon Santa FE
199,199.0,Comunicaciones Agronomia,Comunicaciones
200,200.0,Concordia Chiajna,Concordia
201,201.0,Condal CF,Condal
202,202.0,Corinthians SP,Corinthians
203,203.0,Coritiba PR,Coritiba
204,204.0,Coritiba PR U20,Coritiba U20
205,205.0,Cork City,Cork City
206,206.0,Cortulua Tulua,Cortulua
207,207.0,Cosenza,Cosenza
208,208.0,Costa del Este FC,Costa del Este
209,209.0,Cracovia Krakow,Cracovia
210,210.0,Crusaders,Crusaders
211,211.0,Cruz Azul,Cruz Azul
212,212.0,Cruzeiro MG,Cruzeiro
213,213.0,Crvena Zvezda,FK Crvena zvezda
214,214.0,Crystal Palace U23,Crystal Palace U23
215,215.0,Csakvari TK,Csakvari
216,216.0,Cucuta Deportivo,Cucuta
217,217.0,Dalian Yifang,Dalian Yifang F.C.
218,218.0,Dalstorps IF,Dalstorps
219,219.0,Defence Force FC,Defence Force
220,220.0,Defensa y Justicia,Defensa y Justicia
221,221.0,Defensores Unidos,Defensores Unidos
222,222.0,Deportes Melipilla,Melipilla
223,223.0,Deportes Quindio,Quindio
224,224.0,Deportes Temuco,Deportes Temuco
225,225.0,Deportivo Alaves B,Alaves B
226,226.0,Deportivo Anzoategui,Dep. Anzoategui
227,227.0,Deportivo Cali,Dep. Cali
228,228.0,Deportivo Cuenca,Dep. Cuenca
229,229.0,Deportivo Espanol,Deportivo Espanol
230,230.0,Deportivo Iztapa,Iztapa
231,231.0,Deportivo La Coruna,Dep. La Coruna
232,232.0,Deportivo La Guaira,La Guaira
233,233.0,Deportivo Laferrere,Laferrere
234,234.0,Deportivo Lara,Lara
235,235.0,Deportivo Maipu,Deportivo Maipu
236,236.0,Deportivo Merlo,Dep. Merlo
237,237.0,Deportivo Pereira,Pereira
238,238.0,Deportivo Petapa,Petapa
239,239.0,Deportivo Riestra,Dep. Riestra
240,240.0,Deportivo Saprissa,Saprissa
241,241.0,Deportivo Tachira,Dep. Tachira
242,242.0,Derry City,Derry City
243,243.0,Dinamo Zagreb,D. Zagreb
244,244.0,Dorados De Sinaloa,Dorados de Sinaloa
245,245.0,Dukla Praha U21,Dukla Prague U21
246,246.0,Dunav Ruse,Dunav Ruse
247,247.0,Dundalk,Dundalk
248,248.0,Dynamo Barnaul,Dynamo Barnaul
249,249.0,Dynamo Moscow U21,Dynamo Moscow U21
250,250.0,Dynamo Stavropol,Dynamo Stavropol
251,251.0,ES Setif,ES Setif
252,252.0,East Bengal,East Bengal
