g_1_hz1WW7vt,National League South,"",27.9. 2022,Farnborough,Chelmsford,0-1,"(0),(0)",England,National League South,2022
g_1_6w5zWRgn,National League South,"",27.9. 2022,Hemel Hempstead,Tonbridge,1-0,"(1),(0)",England,National League South,2022
g_1_004vVo9h,National League South,"",27.9. 2022,Hungerford,Hampton & Richmond,0-1,"(0),(1)",England,National League South,2022
g_1_vi3rU5Ob,National League South,"",27.9. 2022,Oxford City,Ebbsfleet,1-1,"(0),(1)",England,National League South,2022
g_1_K2KuTPw5,National League South,"",27.9. 2022,Taunton,Bath,1-1,"(0),(0)",England,National League South,2022
g_1_bgJqSqgB,National League South,"",27.9. 2022,Welling,Dover,1-1,"(0),(0)",England,National League South,2022
g_1_hGImR38H,National League South,"",27.9. 2022,Weymouth,Havant & W,0-2,"(0),(0)",England,National League South,2022
g_1_lScYw0mq,NPL Premier Division,"",27.9. 2022,Ashton Utd,Matlock,0-1,"(0),(0)",England,Npl Premier Division,2022
g_1_SIdxwK2k,NPL Premier Division,"",27.9. 2022,Bamber Bridge,Warrington,3-2,"(2),(1)",England,Npl Premier Division,2022
g_1_pfisxvIe,NPL Premier Division,"",27.9. 2022,Belper Town,Stalybridge,2-0,"(2),(0)",England,Npl Premier Division,2022
g_1_OpjoybX1,NPL Premier Division,"",27.9. 2022,Gainsborough,Guiseley,1-1,"(0),(1)",England,Npl Premier Division,2022
g_1_xlvTasA2,NPL Premier Division,"",27.9. 2022,Hyde,Nantwich,1-0,"(0),(0)",England,Npl Premier Division,2022
g_1_jirXb1P8,NPL Premier Division,"",27.9. 2022,Liversedge,FC United,0-4,"(0),(1)",England,Npl Premier Division,2022
g_1_YFXybLvF,NPL Premier Division,"",27.9. 2022,Marine,Atherton,4-0,"(3),(0)",England,Npl Premier Division,2022
g_1_KWVqda9R,NPL Premier Division,"",27.9. 2022,Morpeth,Lancaster,6-3,"(3),(1)",England,Npl Premier Division,2022
g_1_MuIBiJHr,NPL Premier Division,"",27.9. 2022,Radcliffe,Whitby,1-1,"(0),(1)",England,Npl Premier Division,2022
g_1_447GjwXl,NPL Premier Division,"",27.9. 2022,Warrington Rylands,Stafford,1-1,"(1),(0)",England,Npl Premier Division,2022
g_1_Kdyd0st2,Southern League Central Division,"",27.9. 2022,AFC Rushden & Diamonds,Coalville,0-7,"(0),(3)",England,Southern League Central Division,2022
g_1_YaPwPQI2,Southern League Central Division,"",27.9. 2022,Basford,Stourbridge,2-1,"(2),(0)",England,Southern League Central Division,2022
g_1_CjOsOpY8,Southern League Central Division,"",27.9. 2022,Hednesford,Bromsgrove,2-3,"(1),(1)",England,Southern League Central Division,2022
g_1_URInN4mF,Southern League Central Division,"",27.9. 2022,Ilkeston,Stratford,2-1,"(0),(0)",England,Southern League Central Division,2022
g_1_8IHjMO2L,Southern League Central Division,"",27.9. 2022,Leiston,Bedford,3-0,"(1),(0)",England,Southern League Central Division,2022
g_1_2uHfLrIR,Southern League Central Division,"",27.9. 2022,Mickleover,Tamworth,2-3,"(1),(3)",England,Southern League Central Division,2022
g_1_v18MG2Qr,Southern League Central Division,"",27.9. 2022,Nuneaton,Alvechurch,3-1,"(3),(0)",England,Southern League Central Division,2022
g_1_MPcRFMuk,Southern League Central Division,"",27.9. 2022,Royston,Barwell,2-4,"(1),(3)",England,Southern League Central Division,2022
g_1_rHkmuvyK,Southern League South Division,"",27.9. 2022,Dorchester,Tiverton,1-2,"(0),(0)",England,Southern League South Division,2022
g_1_CjfivbjQ,Southern League South Division,"",27.9. 2022,Hendon,Chesham,0-0,"(0),(0)",England,Southern League South Division,2022
g_1_WSAOdIKC,Southern League South Division,"",27.9. 2022,Merthyr Town,Winchester,5-2,"(4),(1)",England,Southern League South Division,2022
g_1_dOVNYyEm,Southern League South Division,"",27.9. 2022,North Leigh,Hayes & Yeading,1-1,"(0),(1)",England,Southern League South Division,2022
g_1_ARZRXeTg,Southern League South Division,"",27.9. 2022,Plymouth Parkway,Salisbury,3-1,"(1),(0)",England,Southern League South Division,2022
g_1_4lZVWFr0,Southern League South Division,"",27.9. 2022,Weston-super-Mare,Swindon S,3-1,"(1),(1)",England,Southern League South Division,2022
g_1_ruYZVZc6,Southern League South Division,"",27.9. 2022,Yate Town,Truro,1-2,"(1),(1)",England,Southern League South Division,2022
g_1_xz5Pc2aT,Isthmian League Premier Division,"",27.9. 2022,Enfield Town,Horsham FC,2-1,"(2),(0)",England,Isthmian League Premier Division,2022
g_1_6uzXRps5,Professional Development League,"",27.9. 2022,Bristol City U21,Swansea U21,2-1,"(1),(0)",England,Professional Development League,2022
g_1_dQlBLlJu,Professional Development League,"",27.9. 2022,Barnsley U21,Peterborough U21,1-1,"(0),(0)",England,Professional Development League,2022
g_1_K6f5Tr0J,Professional Development League,"",27.9. 2022,Watford U21,Charlton U21,0-2,"(0),(0)",England,Professional Development League,2022
g_1_zHmFK8Yo,Professional Development League,"",27.9. 2022,Sheffield Utd U21,Hull U21,1-1,"(0),(0)",England,Professional Development League,2022
g_1_dvrRcAC9,Liga 2 - First round,"",27.9. 2022,Persipura Jayapura,Putra Delta,1-1,"(0),(0)",Indonesia,Liga 2,2022
g_1_zVtVdURF,Liga 2 - First round,"",27.9. 2022,Sulut Utd,Persewar Waropen,3-2,"(1),(1)",Indonesia,Liga 2,2022
g_1_Iy3NhXmd,Liga 2 - First round,"",27.9. 2022,Bekasi City,Nusantara,2-0,"(2),(0)",Indonesia,Liga 2,2022
g_1_pO4FfgJq,Liga 2 - First round,"",27.9. 2022,Persekat,PSCS Cilacap,0-0,"(0),(0)",Indonesia,Liga 2,2022
g_1_vo4JgDYk,Liga 2 - First round,"",27.9. 2022,Persikab,Persijap Jepara,0-0,"(0),(0)",Indonesia,Liga 2,2022
g_1_rVM1Gzt3,Liga 2 - First round,"",27.9. 2022,PSIM Yogyakarta,Persela Lamongan,1-0,"(0),(0)",Indonesia,Liga 2,2022
g_1_4vOcHGQd,Liga 2 - First round,"",27.9. 2022,Gresik,Persipa Pati,2-0,"(1),(0)",Indonesia,Liga 2,2022
g_1_nmuQo3D7,Serie D - Group A,"",27.9. 2022,Sanremese,Castanese,1-1,"(1),(0)",Italy,Serie D,2022
g_1_4xNXivzs,Serie D - Group A,"",27.9. 2022,Vado,Chieri,1-0,"(1),(0)",Italy,Serie D,2022
g_1_bkNL9vbj,Serie D - Group C,"",27.9. 2022,Villafranca,Legnago Salus,1-1,"(0),(0)",Italy,Serie D,2022
g_1_d07sVxqC,Serie D - Group D,"",27.9. 2022,Corticella,Mezzolara,1-2,"(1),(1)",Italy,Serie D,2022
g_1_6BAVQguI,Serie D - Group E,"",27.9. 2022,Poggibonsi,Orvietana,2-2,"(1),(1)",Italy,Serie D,2022
g_1_lpHFWY7m,Serie D - Group G,"",27.9. 2022,Aprilia,Sorrento,0-2,"(0),(2)",Italy,Serie D,2022
g_1_SYdigLS1,Optibet Virsliga,"",27.9. 2022,BFC Daugavpils,RFS,1-3,"(1),(1)",Latvia,Optibet Virsliga,2022
g_1_rBYfyMLi,LFA First Division,"",27.9. 2022,LISCR FC,Watanga,1-2,"",Liberia,Lfa First Division,2022
g_1_Kh5ULp8n,A Lyga,"",27.9. 2022,Zalgiris,Suduva,1-0,"(1),(0)",Lithuania,A Lyga,2022
g_1_preakqvr,Liga de Expansion MX - Apertura,"",27.9. 2022,Raya2,Zacatecas Mineros,0-3,"(0),(1)",Mexico,Liga De Expansion Mx,2022
g_1_xY7pHgpP,Liga MX Women - Apertura,"",27.9. 2022,Club America W,Pachuca W,2-1,"(2),(0)",Mexico,Liga Mx Women,2022
g_1_vsfCCDht,Liga MX Women - Apertura,"",27.9. 2022,Santos Laguna W,Mazatlan FC W,3-2,"(3),(0)",Mexico,Liga Mx Women,2022
g_1_8GbGBX7n,Liga MX Women - Apertura,"",27.9. 2022,Juarez W,Necaxa W,3-0,"(2),(0)",Mexico,Liga Mx Women,2022
g_1_n7cKAiNh,Liga MX Women - Apertura,"",27.9. 2022,Monterrey W,U.N.A.M.- Pumas W,6-0,"(5),(0)",Mexico,Liga Mx Women,2022
g_1_Aa5HfOAf,Mocambola,"",27.9. 2022,Incomati Xinavane,Ferroviario Lichinga,1-0,"",Mozambique,Mocambola,2022
g_1_xhM8uxD6,NIFL Championship,"",27.9. 2022,Dundela,Annagh,1-2,"(1),(1)",Northern Ireland,Nifl Championship,2022
g_1_x2wiCZVm,LPF - Clausura,"",27.9. 2022,Herrera,Chiriqui,0-0,"(0),(0)",Panama,Lpf,2022
g_1_Usozv5bS,Copa Paraguay,"",27.9. 2022,Guairena FC,Ameliano,0-2,"(0),(1)",Paraguay,Copa Paraguay,2022
g_1_rRrOt7E9,Copa Paraguay,"",27.9. 2022,12 de Octubre,Atl. Tembetary,1-2,"(0),(1)",Paraguay,Copa Paraguay,2022
