matchid,res
1562868529,0-3
1563026767,3-0
1563108486,0-0
1563032872,0-0
1124895,5-0
1125355,1-1
1069731784,1-1
-818990875,0-1
1563196446,0-1
1563173599,4-0
1562944376,2-3
1563026806,1-3
1563272518,2-1
1563076444,1-1
1563076041,2-1
1563075993,3-2
1563076275,0-3
1563076246,2-2
1563137534,9-0
1563278866,0-0
1563290671,0-0
1563344125,0-0
1563327032,1-0
1563330733,2-0
1563278880,1-0
1563278909,0-2
1563316090,3-1
1563347359,1-0
1563309882,2-1
1563278997,1-0
1563415916,2-3
1563212686,2-1
1563279346,2-2
1563447847,1-2
1563170318,2-1
1563459710,2-1
1563479791,2-1
1563287438,1-3
1563298350,1-2
1563484566,1-0
1563330633,0-1
1563330225,1-2
1563330402,0-0
1563330204,1-5
1563330435,1-2
1563330392,2-0
1563330303,0-1
1563567614,2-1
1563330411,1-0
1563582455,2-0
1563548691,1-2
1563548349,2-1
1563548696,2-0
1563567088,3-0
1563576622,2-1
1563611391,0-1
1563610244,3-1
1563631135,0-3
1563610241,3-2
1563631133,1-1
1563610237,3-2
1563436869,0-4
1563673298,2-1
1563673296,2-2
1563700816,3-4
1563714589,2-4
1563781645,0-2
1564030349,1-2
1563789328,2-1
1563972354,4-1
1563946046,1-0
1563941912,0-1
1563861593,0-0
1563960777,3-2
1563861358,2-1
1563821891,1-0
1564011560,5-1
1564012012,1-1
1563861184,1-1
1563861055,6-0
1563994527,3-0
1564034875,2-2
1564083301,1-0
1563934490,0-3
1564039918,3-0
1564133487,2-0
